NEU_DATUM;AUFTRAGSNR;AUFTRAGSPOS;ARTIKELNR;BEGINN_ZEIT;ENDE_ZEIT;PERS_NR;LHM_TYP;MENGE_IST;GEWICHT_SOLL;VOLUMEN_KOLLI;PALNR;KUNDENNR;warehouse;area;aisle;house;place;picklocation
30.08.2024;1;14;209;07:10:27;07:10:41;7;39;6;9,481;13,387;3,43881E+17;413;51;7;8;15;0;1500
30.08.2024;1;15;858;07:10:41;07:11:25;7;39;24;25,864;23,585;3,43881E+17;413;51;7;8;21;0;2100
30.08.2024;2;1;842;13:21:45;13:22:13;48;39;6;8,55;13,421;3,43881E+17;110;51;1;1;4;2;402
30.08.2024;2;2;874;13:22:14;13:22:53;48;39;6;7,145;12,824;3,43881E+17;110;51;1;1;32;4;3204
30.08.2024;2;3;1119;13:22:53;13:23:05;48;39;6;7,181;12,288;3,43881E+17;110;51;1;1;34;2;3402
30.08.2024;2;4;372;13:23:05;13:23:12;48;39;6;8,145;14,211;3,43881E+17;110;51;1;1;36;2;3602
30.08.2024;2;5;260;13:23:12;13:23:21;48;39;6;9,329;16,47;3,43881E+17;110;51;1;1;36;4;3604
30.08.2024;2;6;831;13:23:21;13:23:34;48;39;6;8,104;14,186;3,43881E+17;110;51;1;1;40;4;4004
30.08.2024;2;7;549;13:23:34;13:23:59;48;39;6;8,501;16,632;3,43881E+17;110;51;1;2;10;0;1000
30.08.2024;2;8;761;13:23:59;13:24:08;48;39;6;6,91;12,168;3,43881E+17;110;51;1;2;13;2;1302
30.08.2024;2;9;225;13:24:08;13:24:14;48;39;6;8,776;13,668;3,43881E+17;110;51;1;2;15;2;1502
30.08.2024;2;10;760;13:24:14;13:24:44;48;39;6;7,04;12,481;3,43881E+17;110;51;1;2;24;2;2402
30.08.2024;2;11;124;13:24:44;13:24:56;48;39;6;4,518;6,438;3,43881E+17;110;51;1;2;29;0;2900
30.08.2024;2;12;1068;13:24:56;13:25:02;48;39;6;7,829;13,28;3,43881E+17;110;51;1;2;30;0;3000
30.08.2024;2;13;183;13:25:03;13:25:14;48;39;6;6,831;11,304;3,43881E+17;110;51;1;2;33;2;3302
30.08.2024;2;14;807;13:25:14;13:25:28;48;39;18;25,44;16,68;3,43881E+17;110;51;1;2;34;0;3400
30.08.2024;2;15;284;13:25:28;13:25:48;48;39;6;7,017;10,672;3,43881E+17;110;51;1;2;40;0;4000
30.08.2024;2;16;776;13:25:48;13:26:08;48;39;6;6,831;9,874;3,43881E+17;110;51;1;3;4;4;404
30.08.2024;2;17;843;13:26:08;13:26:51;48;39;18;18,837;10,326;3,43881E+17;110;51;1;3;22;4;2204
30.08.2024;2;18;935;13:26:51;13:27:02;48;39;12;5,785;9,843;3,43881E+17;110;51;1;3;23;3;2303
30.08.2024;2;19;67;13:27:02;13:27:16;48;39;6;6,643;12,558;3,43881E+17;110;51;1;3;37;4;3704
30.08.2024;2;20;461;13:27:16;13:28:10;48;39;6;7,635;14,286;3,43881E+17;110;51;1;3;39;4;3904
30.08.2024;2;21;1076;13:28:10;13:28:22;48;39;6;6,365;11,416;3,43881E+17;110;51;1;3;41;4;4104
30.08.2024;2;22;363;13:28:22;13:28:43;48;39;4;5,048;7,867;3,43881E+17;110;51;1;4;1;2;102
30.08.2024;2;23;293;13:28:44;13:29:22;48;39;6;7,209;11,422;3,43881E+17;110;51;1;4;23;51;2351
30.08.2024;2;24;967;13:29:22;13:30:08;48;39;24;12,948;19,582;3,43881E+17;110;51;1;5;3;2;302
30.08.2024;2;25;314;13:30:08;13:30:24;48;39;24;13,112;19,291;3,43881E+17;110;51;1;5;10;4;1004
30.08.2024;2;26;1162;13:30:24;13:31:16;48;39;48;13,338;9,857;3,43881E+17;110;51;1;5;19;4;1904
30.08.2024;2;27;505;13:31:16;13:32:00;48;39;24;8,598;12,592;3,43881E+17;110;51;1;5;34;0;3400
30.08.2024;2;28;373;13:32:00;13:32:14;48;39;48;13,152;10,034;3,43881E+17;110;51;1;5;37;4;3704
30.08.2024;2;29;479;13:32:14;13:32:27;48;39;72;20,052;9,781;3,43881E+17;110;51;1;5;39;4;3904
30.08.2024;2;30;1133;13:32:27;13:32:52;48;39;24;8,33;13,578;3,43881E+17;110;51;1;6;4;0;400
30.08.2024;2;31;437;13:32:52;13:33:08;48;39;72;25,677;13,693;3,43881E+17;110;51;1;6;4;4;404
30.08.2024;2;32;1116;13:33:08;13:33:21;48;39;12;2,617;4,324;3,43881E+17;110;51;1;6;9;4;904
30.08.2024;2;33;1183;13:33:21;13:33:28;48;39;24;8,543;13,27;3,43881E+17;110;51;1;6;10;4;1004
30.08.2024;2;34;804;13:33:28;13:33:39;48;39;6;12,732;17,516;3,43881E+17;110;51;1;6;14;0;1400
30.08.2024;2;35;402;13:33:39;13:33:51;48;39;6;12,769;16,365;3,43881E+17;110;51;1;6;17;0;1700
30.08.2024;2;36;270;13:33:51;13:34:13;48;39;6;12,769;16,365;3,43881E+17;110;51;1;6;18;2;1802
30.08.2024;2;37;792;13:34:14;13:34:31;48;39;3;15,794;28,682;3,43881E+17;110;51;1;6;20;2;2002
30.08.2024;2;38;184;13:34:31;13:34:56;48;39;8;8,821;11,78;3,43881E+17;110;51;1;6;22;2;2202
30.08.2024;2;39;532;13:34:56;13:35:28;48;39;9;7,549;89,221;3,43881E+17;110;51;1;6;36;0;3600
30.08.2024;2;40;1077;13:35:28;13:35:44;48;39;400;19,104;36,811;3,43881E+17;110;51;1;6;38;0;3800
30.08.2024;2;41;846;13:35:44;13:36:04;48;39;6;13,202;21,932;3,43881E+17;110;51;1;6;38;4;3804
30.08.2024;3;1;1187;13:30:52;13:31:40;64;39;18;29,744;105,105;3,43881E+17;110;51;7;7;0;5;5
30.08.2024;3;2;44;13:21:10;13:22:31;64;39;6;12,301;18,605;3,43881E+17;110;51;7;7;2;0;200
30.08.2024;3;3;1097;13:22:31;13:22:42;64;39;6;9,252;15,33;3,43881E+17;110;51;7;7;5;4;504
30.08.2024;3;4;182;13:22:42;13:23:07;64;39;6;8,07;13,892;3,43881E+17;110;51;7;7;10;0;1000
30.08.2024;3;5;203;13:23:07;13:23:18;64;39;6;9,369;16,965;3,43881E+17;110;51;7;7;13;0;1300
30.08.2024;3;6;477;13:23:18;13:23:35;64;39;6;6,368;12,802;3,43881E+17;110;51;7;7;16;2;1602
30.08.2024;3;7;118;13:23:35;13:23:36;64;39;6;9,541;16,621;3,43881E+17;110;51;7;7;17;4;1704
30.08.2024;3;8;186;13:23:36;13:23:57;64;39;6;9,363;14,342;3,43881E+17;110;51;7;7;22;0;2200
30.08.2024;3;9;77;13:23:57;13:23:58;64;39;6;8,099;14,647;3,43881E+17;110;51;7;7;23;0;2300
30.08.2024;3;10;76;13:23:59;13:24:10;64;39;6;8,162;13,746;3,43881E+17;110;51;7;7;24;4;2404
30.08.2024;3;11;1012;13:24:10;13:24:31;64;39;12;18,494;15,08;3,43881E+17;110;51;7;7;30;4;3004
30.08.2024;3;12;470;13:24:31;13:24:43;64;39;6;6,219;13,653;3,43881E+17;110;51;7;7;33;2;3302
30.08.2024;3;13;13;13:24:45;13:25:36;64;39;30;47,08;17,577;3,43881E+17;110;51;7;8;5;0;500
30.08.2024;3;14;208;13:25:36;13:25:44;64;39;6;9,479;16,714;3,43881E+17;110;51;7;8;7;2;702
30.08.2024;3;15;290;13:25:44;13:25:51;64;39;6;9,247;17,41;3,43881E+17;110;51;7;8;8;0;800
30.08.2024;3;16;320;13:25:51;13:26:16;64;39;12;18,776;15,909;3,43881E+17;110;51;7;8;9;0;900
30.08.2024;3;17;302;13:26:16;13:26:17;64;39;12;18,776;17,263;3,43881E+17;110;51;7;8;9;2;902
30.08.2024;3;18;211;13:26:17;13:26:43;64;39;12;18,74;15,204;3,43881E+17;110;51;7;8;11;0;1100
30.08.2024;3;19;210;13:26:43;13:27:03;64;39;12;18,918;14,283;3,43881E+17;110;51;7;8;13;0;1300
30.08.2024;3;20;209;13:27:03;13:27:15;64;39;6;9,481;13,387;3,43881E+17;110;51;7;8;15;0;1500
30.08.2024;3;21;319;13:27:15;13:27:18;64;39;6;9,482;16,697;3,43881E+17;110;51;7;8;16;2;1602
30.08.2024;3;22;1167;13:27:18;13:27:26;64;39;6;9,446;17,112;3,43881E+17;110;51;7;8;20;0;2000
30.08.2024;3;23;858;13:27:26;13:27:41;64;39;12;12,932;23,585;3,43881E+17;110;51;7;8;21;0;2100
30.08.2024;3;24;237;13:27:41;13:27:53;64;39;6;9,452;13,623;3,43881E+17;110;51;7;8;25;0;2500
30.08.2024;3;25;475;13:27:53;13:28:10;64;39;18;18,735;11,882;3,43881E+17;110;51;7;8;26;0;2600
30.08.2024;3;26;476;13:28:11;13:28:30;64;39;24;25,096;11,627;3,43881E+17;110;51;7;8;27;2;2702
30.08.2024;3;27;474;13:28:30;13:28:38;64;39;6;6,262;12,084;3,43881E+17;110;51;7;8;28;2;2802
30.08.2024;3;28;158;13:28:38;13:28:39;64;39;6;6,307;9,732;3,43881E+17;110;51;7;8;29;2;2902
30.08.2024;3;29;1008;13:28:39;13:29:02;64;39;6;6,428;11,805;3,43881E+17;110;51;7;8;31;4;3104
30.08.2024;3;30;864;13:29:02;13:29:22;64;39;18;19,008;9,086;3,43881E+17;110;51;7;8;32;0;3200
30.08.2024;3;31;500;13:29:22;13:30:04;64;39;6;6,323;9,078;3,43881E+17;110;51;7;8;37;4;3704
30.08.2024;3;32;126;13:30:05;13:30:13;64;39;12;12,564;23,53;3,43881E+17;110;51;7;8;39;0;3900
30.08.2024;3;33;857;13:30:13;13:30:26;64;39;12;12,72;25,662;3,43881E+17;110;51;7;8;41;4;4104
30.08.2024;3;34;63;13:30:26;13:30:34;64;39;6;6,432;11,567;3,43881E+17;110;51;7;8;43;2;4302
30.08.2024;3;35;973;13:30:34;13:30:43;64;39;6;6,337;12,188;3,43881E+17;110;51;7;8;44;4;4404
30.08.2024;3;36;1090;13:30:43;13:30:50;64;39;6;6,492;14,996;3,43881E+17;110;51;7;8;45;0;4500
30.08.2024;3;37;389;13:30:50;13:30:52;64;39;6;6,383;10,189;3,43881E+17;110;51;7;8;45;4;4504
30.08.2024;4;1;84;10:45:03;10:45:21;58;40;6;6,817;9,751;3,43881E+17;384;51;1;1;1;4;104
30.08.2024;4;2;114;10:45:21;10:45:32;58;40;6;8,226;14,441;3,43881E+17;384;51;1;1;5;4;504
30.08.2024;4;3;137;10:45:33;10:45:46;58;40;12;14,548;12,032;3,43881E+17;384;51;1;1;7;4;704
30.08.2024;4;4;907;10:45:46;10:46:02;58;40;6;7,172;12,724;3,43881E+17;384;51;1;1;17;0;1700
30.08.2024;4;5;370;10:46:02;10:46:18;58;40;12;15,004;12,629;3,43881E+17;384;51;1;1;19;4;1904
30.08.2024;4;6;94;10:46:18;10:46:51;58;40;12;14,508;11,97;3,43881E+17;384;51;1;1;22;4;2204
30.08.2024;4;7;103;10:46:52;10:47:11;58;40;18;28,425;15,085;3,43881E+17;384;51;1;1;25;2;2502
30.08.2024;4;8;257;10:47:11;10:47:59;58;40;6;8,253;15,434;3,43881E+17;384;51;1;1;26;0;2600
30.08.2024;4;9;636;10:48:00;10:48:01;58;40;42;57,281;15,093;3,43881E+17;384;51;1;1;26;2;2602
30.08.2024;4;10;150;10:48:01;10:48:21;58;40;6;8,029;15,576;3,43881E+17;384;51;1;1;33;0;3300
30.08.2024;4;11;308;10:48:21;10:48:35;58;40;6;5,963;11,614;3,43881E+17;384;51;1;1;39;0;3900
30.08.2024;4;12;870;10:48:35;10:48:48;58;40;6;7,131;11,854;3,43881E+17;384;51;1;1;41;4;4104
30.08.2024;4;13;357;10:48:48;10:49:13;58;40;6;7,086;13,637;3,43881E+17;384;51;1;2;5;4;504
30.08.2024;4;15;899;10:49:13;10:49:34;58;40;12;14,426;12,374;3,43881E+17;384;51;1;2;14;2;1402
30.08.2024;4;16;354;10:49:34;10:49:44;58;40;6;10,159;16,386;3,43881E+17;384;51;1;2;15;0;1500
30.08.2024;4;17;225;10:49:44;10:49:51;58;40;6;8,776;13,668;3,43881E+17;384;51;1;2;15;2;1502
30.08.2024;4;18;179;10:49:51;10:49:59;58;40;6;8,216;13,386;3,43881E+17;384;51;1;2;21;2;2102
30.08.2024;4;19;760;10:49:59;10:50:28;58;40;12;14,08;12,481;3,43881E+17;384;51;1;2;24;2;2402
30.08.2024;4;20;163;10:50:29;10:50:36;58;40;6;7,92;14,114;3,43881E+17;384;51;1;2;25;0;2500
30.08.2024;4;21;765;10:50:36;10:50:53;58;40;6;7,082;11,696;3,43881E+17;384;51;1;2;26;0;2600
30.08.2024;4;22;520;10:50:53;10:51:17;58;40;6;7,114;12,501;3,43881E+17;384;51;1;2;35;4;3504
30.08.2024;4;23;284;10:51:17;10:51:34;58;40;12;14,034;10,672;3,43881E+17;384;51;1;2;40;0;4000
30.08.2024;4;24;92;10:51:34;10:51:45;58;40;6;6,77;14,81;3,43881E+17;384;51;1;2;41;0;4100
30.08.2024;4;25;905;10:51:45;10:52:08;58;40;12;13,646;10,432;3,43881E+17;384;51;1;3;3;4;304
30.08.2024;4;26;228;10:52:08;10:52:35;58;40;6;8,339;16,162;3,43881E+17;384;51;1;3;12;2;1202
30.08.2024;4;27;1082;10:52:35;10:52:51;58;40;12;14,318;13,219;3,43881E+17;384;51;1;3;13;2;1302
30.08.2024;4;28;70;10:52:51;10:53:06;58;40;6;9,245;16,295;3,43881E+17;384;51;1;3;16;4;1604
30.08.2024;4;29;800;10:53:06;10:53:16;58;40;6;6,109;11,463;3,43881E+17;384;51;1;3;26;5;2605
30.08.2024;4;30;397;10:53:16;10:53:47;58;40;6;8,999;15,339;3,43881E+17;384;51;1;3;27;0;2700
30.08.2024;4;31;109;10:53:47;10:54:00;58;40;6;8,927;14,664;3,43881E+17;384;51;1;3;31;4;3104
30.08.2024;4;32;330;10:54:00;10:54:20;58;40;6;7,399;14,545;3,43881E+17;384;51;1;3;38;4;3804
30.08.2024;4;33;784;10:54:20;10:54:51;58;40;6;9,38;12,594;3,43881E+17;384;51;1;4;3;5;305
30.08.2024;4;34;281;10:54:51;10:55:05;58;40;6;2,661;4,554;3,43881E+17;384;51;1;4;7;5;705
30.08.2024;4;35;256;10:55:05;10:55:42;58;40;4;5,372;7,674;3,43881E+17;384;51;1;4;16;0;1600
30.08.2024;4;36;9;10:55:42;10:57:25;58;40;240;125,12;18,91;3,43881E+17;384;51;1;4;33;0;3300
30.08.2024;4;37;18;10:57:25;10:57:40;58;40;24;12,768;18,399;3,43881E+17;384;51;1;4;38;2;3802
30.08.2024;4;38;433;10:57:40;10:58:04;58;40;12;6,602;9,616;3,43881E+17;384;51;1;5;7;0;700
30.08.2024;4;39;454;10:58:04;10:58:16;58;40;12;6,592;9,534;3,43881E+17;384;51;1;5;8;2;802
30.08.2024;4;40;407;10:58:16;10:58:26;58;40;12;6,56;9,616;3,43881E+17;384;51;1;5;9;0;900
30.08.2024;4;41;1033;10:58:26;10:58:52;58;40;8;16,668;12,597;3,43881E+17;384;51;1;5;17;0;1700
30.08.2024;4;42;954;10:58:52;10:59:24;58;40;8;17,092;12,65;3,43881E+17;384;51;1;5;18;4;1804
30.08.2024;4;43;1162;10:59:24;10:59:37;58;40;24;6,669;9,857;3,43881E+17;384;51;1;5;19;4;1904
30.08.2024;4;44;991;10:59:37;10:59:53;58;40;24;8,661;12,816;3,43881E+17;384;51;1;5;21;4;2104
30.08.2024;4;45;1087;10:59:53;11:00:37;58;40;24;8,303;12,896;3,43881E+17;384;51;1;5;25;0;2500
30.08.2024;4;46;553;11:00:37;11:00:48;58;40;24;6,371;10,155;3,43881E+17;384;51;1;5;28;2;2802
30.08.2024;4;47;1014;11:00:48;11:01:01;58;40;24;8,722;12,586;3,43881E+17;384;51;1;5;31;4;3104
30.08.2024;4;48;497;11:01:01;11:02:12;58;40;48;13,13;10,049;3,43881E+17;384;51;1;5;38;4;3804
30.08.2024;4;49;1055;11:02:13;11:02:13;58;40;24;8,467;12,556;3,43881E+17;384;51;1;5;39;0;3900
30.08.2024;4;50;1044;11:02:14;11:02:31;58;40;8;17,324;13,159;3,43881E+17;384;51;1;5;40;4;4004
30.08.2024;4;51;369;11:02:32;11:03:01;58;40;24;8,512;13,622;3,43881E+17;384;51;1;6;5;0;500
30.08.2024;4;53;264;11:03:01;11:03:29;58;40;8;5,403;7,276;3,43881E+17;384;51;1;6;16;4;1604
30.08.2024;4;54;402;11:03:30;11:03:46;58;40;12;25,538;16,365;3,43881E+17;384;51;1;6;17;0;1700
30.08.2024;4;55;792;11:03:46;11:04:27;58;40;15;78,97;28,682;3,43881E+17;384;51;1;6;20;2;2002
30.08.2024;4;56;1024;11:04:27;11:04:49;58;40;8;8,75;12,514;3,43881E+17;384;51;1;6;23;4;2304
30.08.2024;4;57;903;11:04:49;11:05:07;58;40;16;17,474;11,869;3,43881E+17;384;51;1;6;25;2;2502
30.08.2024;4;58;532;11:05:07;11:06:13;58;40;27;22,647;89,221;3,43881E+17;384;51;1;6;36;0;3600
30.08.2024;5;1;1007;11:46:36;11:47:20;45;40;25;5,579;74,694;3,43881E+17;384;51;7;7;0;4;4
30.08.2024;5;2;406;11:34:24;11:35:22;45;40;30;47,02;13,184;3,43881E+17;384;51;7;7;3;0;300
30.08.2024;5;3;953;11:35:23;11:35:38;45;40;12;15,992;13,353;3,43881E+17;384;51;7;7;12;0;1200
30.08.2024;5;4;1166;11:35:38;11:35:51;45;40;36;55,722;14,039;3,43881E+17;384;51;7;7;19;2;1902
30.08.2024;5;5;78;11:35:51;11:36:49;45;40;24;32,292;13,837;3,43881E+17;384;51;7;7;22;2;2202
30.08.2024;5;6;77;11:36:49;11:36:51;45;40;24;32,396;14,647;3,43881E+17;384;51;7;7;23;0;2300
30.08.2024;5;8;1043;11:36:51;11:39:35;45;40;6;7,839;14,64;3,43881E+17;384;51;7;7;31;0;3100
30.08.2024;5;9;1200;11:39:35;11:39:45;45;40;12;15,696;13,056;3,43881E+17;384;51;7;7;34;4;3404
30.08.2024;5;10;947;11:39:45;11:40:02;45;40;12;15,66;12,83;3,43881E+17;384;51;7;7;35;0;3500
30.08.2024;5;11;1202;11:40:02;11:40:27;45;40;42;54,264;13;3,43881E+17;384;51;7;7;35;2;3502
30.08.2024;5;13;159;11:40:27;11:41:04;45;40;20;30,99;10,114;3,43881E+17;384;51;7;7;38;0;3800
30.08.2024;5;14;161;11:41:04;11:41:18;45;40;8;12,402;12,329;3,43881E+17;384;51;7;7;41;0;4100
30.08.2024;5;15;942;11:33:39;11:34:37;25;40;18;23,652;13,219;3,43881E+17;384;51;7;7;42;4;4204
30.08.2024;5;16;61;11:37:22;11:37:23;25;40;90;279,21;16,824;3,43881E+17;384;51;7;8;8;2;802
30.08.2024;5;16;61;11:37:23;11:40:25;25;40;90;279,21;16,824;3,43881E+17;384;51;7;8;8;2;802
30.08.2024;5;17;858;11:41:20;11:42:44;45;40;60;64,66;23,585;3,43881E+17;384;51;7;8;21;0;2100
30.08.2024;5;19;237;11:42:44;11:43:25;45;40;36;56,712;13,623;3,43881E+17;384;51;7;8;25;0;2500
30.08.2024;5;20;158;11:40:25;11:42:34;25;40;186;195,517;9,732;3,43881E+17;384;51;7;8;29;2;2902
30.08.2024;5;21;1104;11:43:25;11:44:11;45;40;42;44,345;11,023;3,43881E+17;384;51;7;8;35;0;3500
30.08.2024;5;22;1053;11:44:12;11:44:49;45;40;24;36,652;14,553;3,43881E+17;384;51;7;8;35;4;3504
30.08.2024;5;23;126;11:44:49;11:46:11;45;40;48;50,256;23,53;3,43881E+17;384;51;7;8;39;0;3900
30.08.2024;5;24;857;11:46:11;11:46:14;45;40;24;25,44;25,662;3,43881E+17;384;51;7;8;41;4;4104
30.08.2024;5;25;1174;11:46:15;11:46:34;45;40;6;4,916;8,302;3,43881E+17;384;51;7;8;48;0;4800
30.08.2024;5;26;1110;11:46:34;11:46:36;45;40;6;6,52;11,626;3,43881E+17;384;51;7;8;49;0;4900
30.08.2024;6;1;635;15:10:18;15:15:38;13;40;12;16,452;14,441;3,43881E+17;140;51;1;1;5;4;504
30.08.2024;6;2;636;15:15:38;15:19:26;13;40;12;16,366;15,093;3,43881E+17;140;51;1;1;26;2;2602
30.08.2024;6;3;770;15:19:27;15:27:45;13;40;18;24,999;15,276;3,43881E+17;140;51;1;1;36;0;3600
30.08.2024;6;4;359;15:27:45;15:29:16;13;40;30;44,535;14,943;3,43881E+17;140;51;1;2;9;2;902
30.08.2024;6;5;331;15:29:16;15:35:50;13;40;18;25,485;16,018;3,43881E+17;140;51;1;2;34;4;3404
30.08.2024;6;6;122;15:35:50;15:37:28;13;40;6;6,918;10,86;3,43881E+17;140;51;1;3;2;2;202
30.08.2024;6;7;776;15:37:28;15:37:32;13;40;6;6,831;9,874;3,43881E+17;140;51;1;3;4;4;404
30.08.2024;6;8;93;15:37:32;15:40:14;13;40;6;6,582;12,011;3,43881E+17;140;51;1;3;8;0;800
30.08.2024;6;9;843;15:40:14;15:45:06;13;40;18;18,837;10,326;3,43881E+17;140;51;1;3;22;4;2204
30.08.2024;6;10;800;15:45:06;15:45:23;13;40;6;6,109;11,463;3,43881E+17;140;51;1;3;26;5;2605
30.08.2024;6;11;363;15:45:23;15:45:57;13;40;4;5,048;7,867;3,43881E+17;140;51;1;4;1;2;102
30.08.2024;6;12;827;15:45:58;15:46:50;13;40;24;10,028;16,337;3,43881E+17;140;51;1;4;2;0;200
30.08.2024;6;13;801;15:46:51;15:48:50;13;40;2;4,064;3,257;3,43881E+17;140;51;1;4;4;4;404
30.08.2024;6;14;1154;15:48:51;15:49:11;13;40;6;7,697;9,206;3,43881E+17;140;51;1;4;5;5;505
30.08.2024;6;15;423;15:49:11;15:49:58;13;40;24;25,338;18,422;3,43881E+17;140;51;1;4;13;0;1300
30.08.2024;6;16;798;15:49:58;15:53:21;13;40;6;4,757;7,686;3,43881E+17;140;51;1;4;15;0;1500
30.08.2024;6;17;1022;15:53:21;15:55:11;13;40;48;25,486;18,628;3,43881E+17;140;51;1;4;21;0;2100
30.08.2024;6;18;10;15:55:11;15:57:22;13;40;24;12,816;18,808;3,43881E+17;140;51;1;4;24;4;2404
30.08.2024;6;19;7;15:57:22;15:58:28;13;40;24;12,565;19,37;3,43881E+17;140;51;1;4;28;4;2804
30.08.2024;6;20;358;15:58:28;15:59:19;13;40;24;12,908;18,663;3,43881E+17;140;51;1;4;29;0;2900
30.08.2024;6;21;12;15:59:19;15:59:35;13;40;24;12,673;19,478;3,43881E+17;140;51;1;4;29;2;2902
30.08.2024;6;22;15;15:59:35;15:59:48;13;40;72;37,941;19,21;3,43881E+17;140;51;1;4;30;0;3000
30.08.2024;6;23;24;15:59:48;15:59:53;13;40;24;12,512;18,91;3,43881E+17;140;51;1;4;33;0;3300
30.08.2024;6;24;307;15:59:53;16:00:59;13;40;48;25,036;19,011;3,43881E+17;140;51;1;4;36;0;3600
30.08.2024;6;25;4;16:00:59;16:01:06;13;40;72;37,764;19,468;3,43881E+17;140;51;1;4;37;0;3700
30.08.2024;6;26;11;16:01:06;16:01:29;13;40;24;12,623;19,251;3,43881E+17;140;51;1;4;37;2;3702
30.08.2024;6;27;21;16:01:29;16:02:25;13;40;24;12,674;18,808;3,43881E+17;140;51;1;4;40;4;4004
30.08.2024;6;28;967;16:02:25;16:03:46;13;40;24;12,948;19,582;3,43881E+17;140;51;1;5;3;2;302
30.08.2024;6;29;1130;16:03:46;16:05:02;13;40;12;6,56;9,824;3,43881E+17;140;51;1;5;16;2;1602
30.08.2024;6;30;552;16:05:02;16:05:26;13;40;6;6,702;10,221;3,43881E+17;140;51;1;5;22;4;2204
30.08.2024;6;31;1085;16:05:26;16:05:42;13;40;24;8,352;12,788;3,43881E+17;140;51;1;5;28;0;2800
30.08.2024;6;32;563;16:05:42;16:05:43;13;40;24;6,371;10,155;3,43881E+17;140;51;1;5;28;2;2802
30.08.2024;6;33;328;16:05:44;16:05:48;13;40;12;4,275;6,685;3,43881E+17;140;51;1;5;29;2;2902
30.08.2024;6;34;279;16:05:48;16:05:49;13;40;24;6,62;9,929;3,43881E+17;140;51;1;5;33;0;3300
30.08.2024;6;35;505;16:05:49;16:05:55;13;40;24;8,598;12,592;3,43881E+17;140;51;1;5;34;0;3400
30.08.2024;6;36;1055;16:05:55;16:06:05;13;40;24;8,467;12,556;3,43881E+17;140;51;1;5;39;0;3900
30.08.2024;6;37;1042;16:06:05;16:06:43;13;40;12;4,262;6,705;3,43881E+17;140;51;1;6;3;3;303
30.08.2024;6;38;443;16:06:43;16:06:52;13;40;12;4,178;6,907;3,43881E+17;140;51;1;6;3;4;304
30.08.2024;6;39;1133;16:06:52;16:06:55;13;40;24;8,33;13,578;3,43881E+17;140;51;1;6;4;0;400
30.08.2024;6;40;437;16:06:55;16:07:02;13;40;72;25,677;13,693;3,43881E+17;140;51;1;6;4;4;404
30.08.2024;6;41;1116;16:07:02;16:07:25;13;40;12;2,617;4,324;3,43881E+17;140;51;1;6;9;4;904
30.08.2024;6;42;402;16:07:25;16:07:53;13;40;12;25,538;16,365;3,43881E+17;140;51;1;6;17;0;1700
30.08.2024;6;43;270;16:07:54;16:07:56;13;40;6;12,769;16,365;3,43881E+17;140;51;1;6;18;2;1802
30.08.2024;6;44;902;16:07:56;16:08:18;13;40;8;8,732;11,889;3,43881E+17;140;51;1;6;22;4;2204
30.08.2024;6;45;175;16:08:18;16:08:20;13;40;8;8,754;11,55;3,43881E+17;140;51;1;6;25;4;2504
30.08.2024;6;46;901;16:08:20;16:08:42;13;40;8;8,753;11,79;3,43881E+17;140;51;1;6;26;0;2600
30.08.2024;7;1;1097;15:31:48;15:32:30;17;40;24;37,008;15,33;3,43881E+17;140;51;7;7;5;4;504
30.08.2024;7;2;182;15:32:30;15:32:32;17;40;12;16,14;13,892;3,43881E+17;140;51;7;7;10;0;1000
